district,neighborhood,total_listings,avg_price,avg_price_per_m2
 Fatih , Süleymaniye Mah.,1,5000000.0,33333.333333333336
 Büyükçekmece , 19 Mayıs Mah.,1,2550000.0,25500.0
 Küçükçekmece , Kartaltepe Mah.,7,656462.1428571428,4192.628540507112
 Ataşehir , Esatpaşa Mah.,11,266821.8181818182,3775.6128593628596
 Güngören , Haznedar Mah.,6,311576.6666666667,3118.089898989899
 Fatih , Silivrikapı Mah.,33,130027.87878787878,1707.1265281395906
 Şişli , 19 Mayıs Mah.,38,228979.6052631579,1690.4189206574358
 Gaziosmanpaşa , Karadeniz Mah.,41,132445.1219512195,1617.1090613110857
 Sarıyer , Maden Mah.,35,193402.57142857142,1460.974842559867
 Zeytinburnu , Veliefendi Mah.,13,203260.76923076922,1400.5438869200184
 Şişli , Feriköy Mah.,35,149057.57142857142,1389.9597771448525
 Beyoğlu , Hacıahmet Mah.,25,116540.6,1388.1490984291613
 Sarıyer , Baltalimanı Mah.,2,275000.0,1179.1871921182264
 Kağıthane , Telsizler Mah.,41,69267.80487804877,1125.8152837597602
 Adalar , Maden Mah.,20,112290.75,1036.7076060365155
 Üsküdar , Beylerbeyi Mah.,7,698410.7142857143,967.0091339593611
 Beyoğlu , Bülbül Mah.,4,69687.5,961.9734432234432
 Beşiktaş , Bebek Mah.,21,129309.76190476191,846.2292752747909
 Kağıthane , Çeliktepe Mah.,70,99325.78571428571,780.7372144479829
 Beyoğlu , Arap Cami Mah.,1,35000.0,777.7777777777778
 Sarıyer , Ayazağa Mah.,95,80032.73684210527,751.9057213871688
 Adalar , Heybeliada Mah.,8,78656.25,744.6608252858252
 Bakırköy , Şenlikköy Mah.,163,226276.80981595092,726.2645250037086
 Beşiktaş , Levazım Mah.,69,153029.27536231885,703.6269446626499
 Adalar , Nizam Mah.,25,71943.0,694.2562103018033
 Bahçelievler , Soğanlı Mah.,48,62356.041666666664,683.095926656223
 Beyoğlu , Şahkulu Mah.,10,72435.0,641.6377091377092
 Beşiktaş , Nisbetiye Mah.,134,199363.20895522388,634.3263063855077
 Adalar , Burgazada Mah.,17,59585.294117647056,630.4314695108812
 Beşiktaş , Vişnezade Mah.,55,143943.81818181818,627.1726195863787
 Beşiktaş , Arnavutköy Mah.,16,93294.9375,617.6505114064857
 Sarıyer , Yeni Mah.,6,73083.33333333333,606.3258250639655
 Sarıyer , Emirgan Mah.,8,121606.25,602.5012113666388
 Beşiktaş , Akat Mah.,38,111160.65789473684,595.1065522366811
 Beyoğlu , Asmalı Mescit Mah.,7,46942.857142857145,591.4455782312925
 Şişli , Harbiye Mah.,31,137332.74193548388,584.6941232202728
 Beyoğlu , Katip Mustafa Çelebi Mah.,22,24072.727272727272,580.385329942991
 Şişli , Gülbahar Mah.,103,51401.45631067961,562.1101055239635
 Fatih , Mimar Hayrettin Mah.,1,27000.0,540.0
 Beykoz , Kanlıca Mah.,9,297222.22222222225,538.4934558618769
 Kadıköy , Kozyatağı Mah.,31,55300.967741935485,533.9666212895859
 Beyoğlu , Tomtom Mah.,14,53935.71428571428,533.7454957307369
 Avcılar , Merkez Mah.,35,60024.71428571428,531.7914571593218
 Beşiktaş , Ortaköy Mah.,24,90474.58333333333,529.332048297912
 Beşiktaş , Etiler Mah.,60,79538.0,528.5461059999392
 Beşiktaş , Levent Mah.,89,128132.52808988764,526.040390382003
 Zeytinburnu , Kazlıçeşme Mah.,12,119735.83333333333,511.5663596269316
 Beyoğlu , Hüseyinağa Mah.,10,21750.0,511.4646464646465
 Bakırköy , Ataköy 7-8-9-10. Kısım Mah.,14,41857.142857142855,503.5058194430335
 Beyoğlu , Kemankeş Karamustafa Paşa Mah.,1,60000.0,500.0
 Beykoz , Mahmutşevketpaşa Mah.,1,225000.0,500.0
 Şişli , Teşvikiye Mah.,80,80179.125,499.32281208242773
 Beyoğlu , Kuloğlu Mah.,24,34098.958333333336,495.9739338319059
 Beşiktaş , Kültür Mah.,22,68777.27272727272,491.26920639472644
 Kadıköy , Fenerbahçe Mah.,27,81970.0,488.4203608867343
 Beşiktaş , Ulus Mah.,39,114309.7435897436,485.851440550792
 Beykoz , Acarlar Mah.,57,184907.01754385966,485.36505238609715
 Sarıyer , İstinye Mah.,13,92716.15384615384,482.7440308124854
 Beyoğlu , Kalyoncu Kulluğu Mah.,23,17402.130434782608,472.3432899267467
 Zeytinburnu , Maltepe Mah.,8,38199.875,472.1642903120844
 Şişli , Esentepe Mah.,31,65644.83870967742,467.77069959509356
 Beyoğlu , Kılıçali Paşa Mah.,31,58673.87096774193,466.2951779900919
 Sarıyer , Garipçe Mah.,1,37000.0,462.5
 Çekmeköy , Kirazlıdere Mah.,3,71900.0,460.518859671402
 Beykoz , Anadolu Hisarı Mah.,10,64200.0,459.9603082103082
 Sarıyer , Tarabya Mah.,42,85083.80952380953,459.52137415910215
 Sarıyer , Huzur Mah.,111,49970.67567567567,459.3625655117911
 Sarıyer , Zekeriyaköy Mah.,78,61111.98717948718,444.9409047886509
 Beşiktaş , Yıldız Mah.,42,63622.619047619046,443.6399376523518
 Fatih , Ayvansaray Mah.,27,14506.851851851852,438.1316737103774
 Ataşehir , Yenişehir Mah.,2,40000.0,438.00539083557953
 Ataşehir , Atatürk Mah.,28,66557.85714285714,432.0170697320922
 Kadıköy , Göztepe Mah.,47,61645.85106382979,430.96954748877886
 Sarıyer , Uskumruköy Mah.,8,139293.75,430.9301703098131
 Ümraniye , Finanskent Mah.,7,31528.571428571428,428.0277590056311
 Beyoğlu , Gümüşsuyu Mah.,25,40772.8,427.9565889100006
 Beyoğlu , Hacımimi Mah.,6,34641.666666666664,426.4584806694955
 Sarıyer , Demirciköy Mah.,6,71666.66666666667,420.1624925462135
 Beyoğlu , Bereketzade Mah.,9,40622.22222222222,417.67180776500953
 Sarıyer , Rumeli Hisarı Mah.,10,79164.0,413.8213843423815
 Beyoğlu , Evliya Çelebi Mah.,2,45000.0,412.1212121212121
 Kadıköy , Suadiye Mah.,44,73249.54545454546,411.4283126878525
 Bakırköy , Ataköy 3-4-11. Kısım Mah.,4,48250.0,411.319048183455
 Sarıyer , Maslak Mah.,343,60793.72303206997,406.58358017193353
 Beyoğlu , Müeyyetzade Mah.,5,41670.0,403.2287581699346
 Sarıyer , Çayırbaşı Mah.,4,46380.0,402.3708791208791
 Eyüpsultan , Göktürk Merkez Mah.,63,68264.28571428571,401.8266549228619
 Beşiktaş , Kuruçeşme Mah.,7,44935.71428571428,400.13274380898605
 Şişli , Halaskargazi Mah.,20,67613.5,399.3968474172618
 Üsküdar , Kandilli Mah.,6,129500.0,398.7254260074028
 Şişli , Cumhuriyet Mah.,94,38459.734042553195,397.6373657277752
 Sarıyer , Yeniköy Mah.,26,76103.84615384616,396.71478502932035
 Beyoğlu , İstiklal Mah.,5,32060.0,395.9371597420378
 Çekmeköy , Ömerli Mah.,1,110000.0,392.85714285714283
 Beşiktaş , Konaklar Mah.,11,34909.09090909091,392.50006083033935
 Eyüpsultan , Nişancı Mah.,4,9062.5,391.78511705685617
 Beyoğlu , Firuzağa Mah.,31,27635.451612903227,390.93563715450944
 Maltepe , Büyükbakkalköy Mah.,1,17500.0,388.8888888888889
 Beykoz , Rüzgarlıbahçe Mah.,12,18709.583333333332,386.7562565430212
 Beşiktaş , Gayrettepe Mah.,56,40492.767857142855,385.92249993813937
 Kadıköy , Osmanağa Mah.,45,21790.044444444444,385.080068573797
 Kağıthane , Merkez Mah.,59,30375.593220338982,382.8076183618115
 Kadıköy , Caddebostan Mah.,29,51813.793103448275,380.34837066256887
 Bakırköy , Ataköy 1. Kısım Mah.,1,60000.0,377.35849056603774
 Şişli , Fulya Mah.,105,49203.276190476194,376.65898555982375
 Çekmeköy , Güngören Mah.,4,67557.5,375.315828236575
 Şile , Hacı Kasım Mah.,1,15000.0,375.0
 Büyükçekmece , Alkent 2000 Mah.,2,301500.0,374.6714456391876
 Şişli , Meşrutiyet Mah.,34,29068.882352941175,370.9193465619973
 Şişli , Merkez Mah.,149,39156.778523489935,369.7872624930534
 Bakırköy , Sakızağacı Mah.,11,70331.36363636363,363.78590490020974
 Ümraniye , Yukarı Dudullu Mah.,3,27333.333333333332,362.5396825396826
 Beyoğlu , Şehit Muhtar Mah.,12,32431.25,362.51551187675506
 Kağıthane , Hamidiye Mah.,91,42162.45054945055,361.4301785604445
 Kadıköy , Fikirtepe Mah.,17,36518.23529411765,358.2384551629403
 Bakırköy , Yeşilköy Mah.,33,41139.242424242424,358.16042496688624
 Beyoğlu , Pürtelaş Hasan Efendi Mah.,15,42694.0,355.343699365268
 Üsküdar , Aziz Mahmut Hüdayi Mah.,31,37296.77419354839,352.00473485811546
 Sarıyer , Kireçburnu Mah.,28,55765.357142857145,350.6087493214069
 Silivri , Fener Mah.,1,35000.0,350.0
 Fatih , Balat Mah.,8,20750.0,348.5655684185096
 Eyüpsultan , Mithatpaşa Mah.,12,83858.33333333333,347.48824451410655
 Kadıköy , Bostancı Mah.,32,46606.71875,344.7477442420535
 Üsküdar , Kısıklı Mah.,5,19922.0,342.8666666666667
 Esenler , 15 Temmuz Mah.,4,31000.0,342.7374760879962
 Sultangazi , Eski Habipler Mah.,2,22000.0,338.46153846153845
 Üsküdar , Acıbadem Mah.,9,54798.88888888889,337.5734972420796
 Sarıyer , Kumköy Mah.,5,41000.0,336.8390804597701
 Üsküdar , Altunizade Mah.,8,49193.75,336.4808681088923
 Şile , Ahmetli Mah.,1,47000.0,335.7142857142857
 Beyoğlu , Cihangir Mah.,68,33543.382352941175,335.28333168769996
 Kadıköy , Dumlupınar Mah.,6,18874.166666666668,333.71364356622706
 Eyüpsultan , Mimar Sinan Mah.,30,54856.666666666664,331.6325592551846
 Beşiktaş , Muradiye Mah.,16,29480.0,329.77446971726675
 Sarıyer , Gümüşdere Mah.,1,230000.0,328.57142857142856
 Beyoğlu , Kocatepe Mah.,12,28800.833333333332,327.01101104777575
 Üsküdar , Sultantepe Mah.,6,30200.0,326.8902857585722
 Bakırköy , Basınköy Mah.,11,66868.18181818182,325.9389772437901
 Ümraniye , Tantavi Mah.,2,49000.0,323.7878787878788
 Beyoğlu , Çukur Mah.,5,18030.0,321.58543417366946
 Beykoz , Riva Mah.,6,85000.0,320.04855465221317
 Beşiktaş , Dikilitaş Mah.,57,39314.47368421053,318.4685322341516
 Sarıyer , Reşitpaşa Mah.,14,47096.42857142857,316.8809925516029
 Kağıthane , Emniyet Evleri Mah.,48,65717.8125,315.6968355825306
 Sarıyer , Büyükdere Mah.,15,39533.333333333336,315.67821535821537
 Sarıyer , Rumeli Kavağı Mah.,1,50000.0,312.5
 Sarıyer , Pınar Mah.,12,81462.5,312.4647967772968
 Şişli , Ergenekon Mah.,18,28654.444444444445,311.9379368099698
 Üsküdar , Mehmet Akif Ersoy Mah.,5,63281.0,311.67446119771705
 Beşiktaş , Türkali Mah.,30,26469.333333333332,310.5966673562862
 Üsküdar , Kirazlıtepe Mah.,2,40000.0,307.6923076923077
 Sarıyer , Kazım Karabekir Paşa Mah.,1,20000.0,307.6923076923077
 Kartal , Esentepe Mah.,4,29442.5,305.56567525584796
 Kadıköy , Erenköy Mah.,24,35834.166666666664,305.56107281671547
 Pendik , Batı Mah.,6,31833.333333333332,304.7483047925526
 Arnavutköy , Karaburun Mah.,1,35000.0,304.3478260869565
